k1, k2, z
11, 13, 10
22, 28, 25
10, 17, 18
16, 26, 25
9, 17, 28
14, 15, 21
12, 18, 12
5, 14, 20
3, 10, 8
12, 0, 3
18, 23, 25
14, 8, 21
9, 15, 21
12, 18, 26
15, 17, 17
16, 13, 23
6, 17, 10
26, 0, 36
3, 0, 0
21, 20, 26
13, 17, 16
19, 21, 28
21, 24, 21
9, 13, 11
15, 11, 11
6, 13, 9
14, 24, 12
16, 20, 10
0, 17, 17
2, 0, 0
29, 25, 28
11, 14, 8
15, 20, 13
10, 8, 10
19, 23, 17
14, 17, 17
20, 18, 18
15, 19, 12
10, 5, 3
5, 12, 11
17, 17, 13
6, 10, 14
10, 13, 17
12, 13, 25
13, 0, 10
16, 16, 18
23, 27, 36
9, 17, 23
16, 25, 23
18, 22, 27
15, 4, 7
10, 15, 13
0, 16, 23
6, 9, 8
4, 0, 0
14, 14, 20
19, 16, 27
13, 7, 14
11, 11, 15
19, 21, 31
7, 12, 9
15, 17, 28
12, 14, 10
5, 13, 11
16, 20, 29
15, 14, 10
1, 0, 0
16, 21, 22
28, 22, 30
21, 19, 31
15, 17, 16
26, 29, 35
8, 11, 9
16, 21, 24
19, 21, 21
13, 17, 20
0, 24, 30
12, 18, 20
3, 12, 10
21, 24, 31
26, 25, 28
11, 17, 22
2, 10, 10
14, 20, 22
24, 24, 31
2, 0, 0
28, 25, 35
22, 20, 34
23, 20, 26
12, 12, 13
18, 21, 13
23, 23, 25
13, 15, 20
18, 14, 16
0, 1, 0
14, 13, 19
10, 18, 13
26, 29, 36
4, 18, 23
8, 18, 19
9, 6, 12
5, 9, 10
16, 16, 19
12, 19, 26
9, 14, 13
26, 26, 34
10, 13, 10
13, 17, 16
15, 13, 22
20, 20, 20
2, 13, 12
0, 9, 10
12, 18, 20
13, 21, 20
2, 3, 0
0, 29, 36
8, 11, 12
7, 8, 0
13, 17, 13
13, 19, 27
3, 0, 0
15, 17, 18
1, 0, 1
7, 8, 5
8, 4, 5
23, 23, 33
5, 8, 11
10, 20, 18
10, 18, 5
14, 13, 13
19, 22, 22
8, 21, 24
11, 24, 25
19, 23, 21
26, 26, 38
22, 21, 31
7, 16, 11
13, 22, 25
12, 20, 20
20, 18, 27
17, 21, 19
12, 20, 19
14, 0, 11
8, 6, 17
2, 3, 7
0, 18, 20
10, 17, 12
3, 17, 1
13, 18, 24
6, 13, 14
18, 17, 17
9, 17, 21
17, 18, 23
16, 18, 23
7, 21, 23
11, 17, 17
13, 13, 28
16, 18, 14
17, 16, 23
12, 15, 21
10, 0, 7
