k1, k2, z
10, 26.5, 27.5
15, 17, 28
29, 26.5, 37
7, 2.5, 7.5
23, 24, 35
5, 12.5, 22.5
14, 14.5, 27
3, 6.5, 13.5
8, 9.5, 18.5
15, 15.5, 28
7, 0, 15
18, 20.5, 31.5
18, 5.5, 17
7, 14.5, 18
12, 11.5, 27.5
8, 4, 12
5, 9.5, 16.5
10, 7.5, 29
8, 16, 22
19, 25.5, 27
10, 6, 17.5
15, 7.5, 18
6, 12, 14.5
11, 6.5, 21
7, 0, 7
12, 15.5, 24
11, 23, 36
18, 8.5, 23.5
5, 12, 17.5
20, 25.5, 30.5
11, 10.5, 23.5
8, 23, 32
16, 17, 31
7, 3.5, 0.5
9, 0, 0
11, 0, 0
20, 22, 35
20, 18.5, 31.5
15, 11.5, 19.5
12, 13.5, 29
8, 23.5, 24
13, 24, 26.5
12, 8.5, 24.5
16, 9.5, 21.5
5, 1.5, 18
5, 1, 8.5
7, 7.5, 23.5
9, 10.5, 27.5
10, 16, 24
14, 17.5, 36
6, 9.5, 20
5, 14, 21
10, 8, 21
14, 23.5, 34
18, 16, 25
7, 0, 0
6, 15, 18
1, 0.5, 0
15, 1.5, 0
12, 20.5, 23.5
15, 13, 18
19, 13, 27
14, 19.5, 21
9, 17.5, 28
10, 10.5, 21
11, 18.5, 20.5
16, 15, 26
13, 12.5, 26.5
25, 23.5, 29
17, 21, 30
8, 16, 23
13, 4.5, 30
29, 28, 40
12, 8.5, 18
10, 5, 0
6, 9, 15
6, 6, 10.5
10, 15.5, 27
8, 12.5, 14.5
21, 23.5, 23
10, 9, 28
10, 12.5, 29.5
22, 26.5, 27
1, 13.5, 12
12, 14, 28
9, 11, 12
16, 20, 35
7, 14, 25
13, 9, 26
9, 12, 24
25, 25.5, 34.5
25, 25.5, 38
10, 10.5, 23
26, 25, 35
16, 19, 29.5
13, 9, 28
6, 14, 26.5
9, 8, 0
4, 8.5, 23
11, 14, 29
18, 13, 19
11, 1, 13.5
4, 12, 19.5
2, 5.5, 19
20, 19.5, 28
29, 27, 40
14.5, 12, 20
14, 9, 22
6, 9, 23.5
10, 11, 15.5
17, 15, 20
11, 8, 23.5
10, 10, 21
14, 3.5, 14
6, 14, 22
7, 3.5, 17
7, 0, 14
21, 28, 26.5
12, 16, 21
13, 8, 24
12, 13.5, 28.5
22, 23, 30.5
9, 8.5, 15.5
11, 19.5, 28
12, 20.5, 23
13, 8.5, 23.5
6, 2, 14.5
5, 1, 10.5
12, 16, 27
7, 5.5, 19.5
7, 0, 7
27, 27, 40
